AF3,F7,F3,FC5,T7,P7,O1,O1,P8,T8,FC6,F4,F8,AF4,CLASS
4.31E+03,4.01E+03,4.27E+03,4.12E+03,4.33E+03,4.60E+03,4.10E+03,4.63E+03,4.22E+03,4.24E+03,4.22E+03,4.28E+03,4.63E+03,4.38E+03,0.00E+00
4.31E+03,4.01E+03,4.27E+03,4.12E+03,4.33E+03,4.60E+03,4.10E+03,4.63E+03,4.22E+03,4.24E+03,4.22E+03,4.28E+03,4.62E+03,4.37E+03,0.00E+00
4.31E+03,4.01E+03,4.27E+03,4.13E+03,4.34E+03,4.60E+03,4.10E+03,4.63E+03,4.21E+03,4.24E+03,4.21E+03,4.28E+03,4.62E+03,4.38E+03,0.00E+00
4.31E+03,4.01E+03,4.27E+03,4.13E+03,4.34E+03,4.60E+03,4.10E+03,4.63E+03,4.21E+03,4.24E+03,4.21E+03,4.28E+03,4.62E+03,4.38E+03,0.00E+00
4.31E+03,4.00E+03,4.26E+03,4.12E+03,4.33E+03,4.60E+03,4.09E+03,4.63E+03,4.22E+03,4.23E+03,4.21E+03,4.28E+03,4.61E+03,4.36E+03,0.00E+00
4.30E+03,4.00E+03,4.27E+03,4.12E+03,4.33E+03,4.59E+03,4.09E+03,4.62E+03,4.19E+03,4.22E+03,4.20E+03,4.27E+03,4.60E+03,4.36E+03,0.00E+00
4.30E+03,4.00E+03,4.26E+03,4.12E+03,4.34E+03,4.59E+03,4.08E+03,4.61E+03,4.18E+03,4.21E+03,4.19E+03,4.27E+03,4.60E+03,4.36E+03,0.00E+00
4.30E+03,4.00E+03,4.26E+03,4.13E+03,4.35E+03,4.60E+03,4.09E+03,4.61E+03,4.19E+03,4.21E+03,4.20E+03,4.27E+03,4.60E+03,4.36E+03,0.00E+00
4.31E+03,4.01E+03,4.27E+03,4.14E+03,4.34E+03,4.60E+03,4.09E+03,4.62E+03,4.21E+03,4.22E+03,4.21E+03,4.28E+03,4.61E+03,4.36E+03,0.00E+00
4.32E+03,4.01E+03,4.28E+03,4.14E+03,4.34E+03,4.58E+03,4.09E+03,4.61E+03,4.20E+03,4.23E+03,4.21E+03,4.29E+03,4.62E+03,4.38E+03,0.00E+00
4.32E+03,4.02E+03,4.28E+03,4.14E+03,4.34E+03,4.59E+03,4.09E+03,4.61E+03,4.20E+03,4.24E+03,4.22E+03,4.28E+03,4.63E+03,4.39E+03,0.00E+00
4.33E+03,4.02E+03,4.28E+03,4.14E+03,4.33E+03,4.60E+03,4.10E+03,4.63E+03,4.22E+03,4.25E+03,4.23E+03,4.29E+03,4.63E+03,4.39E+03,0.00E+00
4.33E+03,4.02E+03,4.28E+03,4.14E+03,4.33E+03,4.61E+03,4.11E+03,4.64E+03,4.22E+03,4.24E+03,4.23E+03,4.30E+03,4.64E+03,4.38E+03,0.00E+00
4.31E+03,4.01E+03,4.28E+03,4.13E+03,4.33E+03,4.61E+03,4.11E+03,4.63E+03,4.21E+03,4.23E+03,4.22E+03,4.30E+03,4.63E+03,4.38E+03,0.00E+00
4.31E+03,4.01E+03,4.28E+03,4.13E+03,4.34E+03,4.61E+03,4.11E+03,4.63E+03,4.22E+03,4.24E+03,4.21E+03,4.29E+03,4.62E+03,4.37E+03,0.00E+00
4.31E+03,4.01E+03,4.27E+03,4.13E+03,4.33E+03,4.61E+03,4.10E+03,4.63E+03,4.21E+03,4.23E+03,4.21E+03,4.28E+03,4.61E+03,4.36E+03,0.00E+00
4.30E+03,4.00E+03,4.26E+03,4.12E+03,4.33E+03,4.60E+03,4.10E+03,4.61E+03,4.19E+03,4.22E+03,4.20E+03,4.27E+03,4.61E+03,4.35E+03,0.00E+00
4.30E+03,4.00E+03,4.25E+03,4.13E+03,4.34E+03,4.59E+03,4.09E+03,4.60E+03,4.18E+03,4.23E+03,4.20E+03,4.27E+03,4.61E+03,4.35E+03,0.00E+00
4.29E+03,4.00E+03,4.25E+03,4.13E+03,4.34E+03,4.59E+03,4.08E+03,4.60E+03,4.18E+03,4.23E+03,4.20E+03,4.26E+03,4.61E+03,4.36E+03,0.00E+00
4.28E+03,4.00E+03,4.25E+03,4.12E+03,4.33E+03,4.60E+03,4.08E+03,4.59E+03,4.18E+03,4.21E+03,4.19E+03,4.26E+03,4.61E+03,4.35E+03,0.00E+00
4.29E+03,4.00E+03,4.24E+03,4.12E+03,4.33E+03,4.60E+03,4.08E+03,4.60E+03,4.18E+03,4.20E+03,4.19E+03,4.26E+03,4.60E+03,4.35E+03,0.00E+00
4.30E+03,4.01E+03,4.25E+03,4.13E+03,4.35E+03,4.61E+03,4.09E+03,4.62E+03,4.21E+03,4.22E+03,4.19E+03,4.27E+03,4.60E+03,4.35E+03,0.00E+00
4.30E+03,4.01E+03,4.26E+03,4.14E+03,4.35E+03,4.61E+03,4.09E+03,4.63E+03,4.21E+03,4.23E+03,4.20E+03,4.27E+03,4.60E+03,4.36E+03,0.00E+00
4.30E+03,4.02E+03,4.26E+03,4.14E+03,4.35E+03,4.61E+03,4.09E+03,4.62E+03,4.21E+03,4.23E+03,4.20E+03,4.27E+03,4.61E+03,4.36E+03,0.00E+00
4.31E+03,4.02E+03,4.27E+03,4.14E+03,4.35E+03,4.62E+03,4.09E+03,4.63E+03,4.22E+03,4.23E+03,4.20E+03,4.28E+03,4.61E+03,4.37E+03,0.00E+00
4.32E+03,4.02E+03,4.28E+03,4.14E+03,4.35E+03,4.61E+03,4.10E+03,4.63E+03,4.22E+03,4.24E+03,4.21E+03,4.29E+03,4.63E+03,4.37E+03,0.00E+00
4.32E+03,4.02E+03,4.28E+03,4.14E+03,4.35E+03,4.61E+03,4.10E+03,4.63E+03,4.21E+03,4.25E+03,4.22E+03,4.29E+03,4.64E+03,4.38E+03,0.00E+00
4.31E+03,4.01E+03,4.28E+03,4.14E+03,4.35E+03,4.61E+03,4.09E+03,4.61E+03,4.19E+03,4.24E+03,4.21E+03,4.29E+03,4.63E+03,4.38E+03,0.00E+00
4.31E+03,4.00E+03,4.27E+03,4.13E+03,4.34E+03,4.61E+03,4.09E+03,4.61E+03,4.19E+03,4.22E+03,4.21E+03,4.28E+03,4.62E+03,4.37E+03,0.00E+00
4.31E+03,4.01E+03,4.27E+03,4.14E+03,4.33E+03,4.60E+03,4.10E+03,4.61E+03,4.20E+03,4.22E+03,4.21E+03,4.28E+03,4.63E+03,4.37E+03,0.00E+00
4.31E+03,4.02E+03,4.28E+03,4.14E+03,4.35E+03,4.61E+03,4.10E+03,4.62E+03,4.21E+03,4.24E+03,4.22E+03,4.29E+03,4.64E+03,4.38E+03,0.00E+00
4.31E+03,4.01E+03,4.28E+03,4.14E+03,4.35E+03,4.61E+03,4.09E+03,4.62E+03,4.21E+03,4.24E+03,4.22E+03,4.29E+03,4.64E+03,4.37E+03,0.00E+00
4.31E+03,4.00E+03,4.28E+03,4.14E+03,4.34E+03,4.60E+03,4.09E+03,4.63E+03,4.21E+03,4.24E+03,4.22E+03,4.29E+03,4.63E+03,4.37E+03,0.00E+00
4.30E+03,4.00E+03,4.27E+03,4.14E+03,4.34E+03,4.60E+03,4.09E+03,4.63E+03,4.21E+03,4.24E+03,4.21E+03,4.28E+03,4.62E+03,4.37E+03,0.00E+00
4.31E+03,4.01E+03,4.27E+03,4.14E+03,4.34E+03,4.61E+03,4.08E+03,4.63E+03,4.21E+03,4.24E+03,4.21E+03,4.28E+03,4.62E+03,4.37E+03,0.00E+00
4.32E+03,4.02E+03,4.27E+03,4.14E+03,4.35E+03,4.61E+03,4.09E+03,4.62E+03,4.21E+03,4.24E+03,4.21E+03,4.28E+03,4.63E+03,4.36E+03,0.00E+00
4.31E+03,4.02E+03,4.27E+03,4.14E+03,4.35E+03,4.61E+03,4.10E+03,4.62E+03,4.20E+03,4.23E+03,4.21E+03,4.28E+03,4.62E+03,4.35E+03,0.00E+00
4.30E+03,4.00E+03,4.26E+03,4.14E+03,4.34E+03,4.61E+03,4.10E+03,4.62E+03,4.20E+03,4.21E+03,4.19E+03,4.27E+03,4.61E+03,4.35E+03,0.00E+00
4.30E+03,4.01E+03,4.27E+03,4.13E+03,4.33E+03,4.60E+03,4.09E+03,4.61E+03,4.19E+03,4.21E+03,4.20E+03,4.28E+03,4.61E+03,4.36E+03,0.00E+00
4.31E+03,4.02E+03,4.28E+03,4.14E+03,4.34E+03,4.60E+03,4.08E+03,4.61E+03,4.20E+03,4.23E+03,4.22E+03,4.29E+03,4.63E+03,4.38E+03,0.00E+00
4.32E+03,4.02E+03,4.29E+03,4.15E+03,4.35E+03,4.60E+03,4.08E+03,4.61E+03,4.21E+03,4.24E+03,4.22E+03,4.30E+03,4.64E+03,4.38E+03,0.00E+00
4.31E+03,4.01E+03,4.28E+03,4.14E+03,4.33E+03,4.60E+03,4.08E+03,4.62E+03,4.21E+03,4.24E+03,4.21E+03,4.29E+03,4.63E+03,4.36E+03,0.00E+00
4.30E+03,4.00E+03,4.27E+03,4.13E+03,4.33E+03,4.60E+03,4.09E+03,4.62E+03,4.21E+03,4.23E+03,4.20E+03,4.28E+03,4.61E+03,4.36E+03,0.00E+00
4.31E+03,4.00E+03,4.28E+03,4.14E+03,4.35E+03,4.60E+03,4.09E+03,4.62E+03,4.21E+03,4.23E+03,4.21E+03,4.28E+03,4.62E+03,4.36E+03,0.00E+00
4.32E+03,4.01E+03,4.28E+03,4.14E+03,4.35E+03,4.61E+03,4.09E+03,4.62E+03,4.21E+03,4.23E+03,4.21E+03,4.29E+03,4.62E+03,4.36E+03,0.00E+00
4.31E+03,4.00E+03,4.28E+03,4.14E+03,4.34E+03,4.61E+03,4.09E+03,4.63E+03,4.21E+03,4.23E+03,4.21E+03,4.29E+03,4.62E+03,4.37E+03,0.00E+00
4.31E+03,4.00E+03,4.28E+03,4.14E+03,4.34E+03,4.60E+03,4.09E+03,4.64E+03,4.22E+03,4.24E+03,4.22E+03,4.29E+03,4.63E+03,4.38E+03,0.00E+00
4.31E+03,4.01E+03,4.28E+03,4.14E+03,4.34E+03,4.60E+03,4.08E+03,4.63E+03,4.22E+03,4.24E+03,4.23E+03,4.29E+03,4.63E+03,4.37E+03,0.00E+00
4.31E+03,4.00E+03,4.26E+03,4.14E+03,4.34E+03,4.61E+03,4.09E+03,4.63E+03,4.22E+03,4.23E+03,4.22E+03,4.29E+03,4.62E+03,4.36E+03,0.00E+00
4.31E+03,4.00E+03,4.26E+03,4.13E+03,4.35E+03,4.61E+03,4.08E+03,4.63E+03,4.21E+03,4.23E+03,4.21E+03,4.28E+03,4.62E+03,4.36E+03,0.00E+00
4.30E+03,4.00E+03,4.26E+03,4.13E+03,4.36E+03,4.60E+03,4.08E+03,4.62E+03,4.20E+03,4.23E+03,4.21E+03,4.28E+03,4.62E+03,4.36E+03,0.00E+00
4.30E+03,4.00E+03,4.25E+03,4.12E+03,4.35E+03,4.61E+03,4.09E+03,4.61E+03,4.20E+03,4.22E+03,4.21E+03,4.27E+03,4.62E+03,4.36E+03,0.00E+00
4.30E+03,4.01E+03,4.25E+03,4.12E+03,4.34E+03,4.61E+03,4.08E+03,4.62E+03,4.20E+03,4.22E+03,4.21E+03,4.27E+03,4.62E+03,4.36E+03,0.00E+00
4.31E+03,4.01E+03,4.26E+03,4.13E+03,4.35E+03,4.61E+03,4.08E+03,4.62E+03,4.20E+03,4.23E+03,4.21E+03,4.28E+03,4.62E+03,4.36E+03,0.00E+00
4.30E+03,4.00E+03,4.26E+03,4.13E+03,4.35E+03,4.61E+03,4.08E+03,4.62E+03,4.21E+03,4.23E+03,4.21E+03,4.28E+03,4.61E+03,4.35E+03,0.00E+00
4.30E+03,4.00E+03,4.25E+03,4.12E+03,4.34E+03,4.60E+03,4.08E+03,4.62E+03,4.20E+03,4.23E+03,4.20E+03,4.27E+03,4.61E+03,4.35E+03,0.00E+00
4.30E+03,4.00E+03,4.24E+03,4.12E+03,4.33E+03,4.60E+03,4.08E+03,4.61E+03,4.19E+03,4.22E+03,4.20E+03,4.27E+03,4.61E+03,4.35E+03,0.00E+00
4.30E+03,4.00E+03,4.25E+03,4.13E+03,4.35E+03,4.60E+03,4.08E+03,4.61E+03,4.19E+03,4.22E+03,4.21E+03,4.27E+03,4.61E+03,4.36E+03,0.00E+00
4.31E+03,4.00E+03,4.26E+03,4.12E+03,4.34E+03,4.60E+03,4.09E+03,4.62E+03,4.20E+03,4.22E+03,4.21E+03,4.28E+03,4.61E+03,4.36E+03,0.00E+00
4.30E+03,4.00E+03,4.26E+03,4.12E+03,4.34E+03,4.60E+03,4.08E+03,4.62E+03,4.20E+03,4.22E+03,4.21E+03,4.28E+03,4.61E+03,4.36E+03,0.00E+00
4.30E+03,4.01E+03,4.26E+03,4.12E+03,4.34E+03,4.60E+03,4.08E+03,4.61E+03,4.20E+03,4.24E+03,4.22E+03,4.29E+03,4.63E+03,4.36E+03,0.00E+00
4.30E+03,4.01E+03,4.26E+03,4.12E+03,4.35E+03,4.60E+03,4.08E+03,4.62E+03,4.21E+03,4.24E+03,4.22E+03,4.29E+03,4.63E+03,4.37E+03,0.00E+00
4.31E+03,4.01E+03,4.27E+03,4.12E+03,4.35E+03,4.61E+03,4.09E+03,4.63E+03,4.21E+03,4.24E+03,4.22E+03,4.29E+03,4.63E+03,4.37E+03,0.00E+00
4.32E+03,4.00E+03,4.27E+03,4.12E+03,4.35E+03,4.61E+03,4.09E+03,4.63E+03,4.21E+03,4.24E+03,4.23E+03,4.30E+03,4.63E+03,4.37E+03,0.00E+00
4.31E+03,4.01E+03,4.27E+03,4.12E+03,4.34E+03,4.61E+03,4.09E+03,4.63E+03,4.22E+03,4.25E+03,4.22E+03,4.29E+03,4.63E+03,4.38E+03,0.00E+00
4.30E+03,4.00E+03,4.26E+03,4.12E+03,4.35E+03,4.60E+03,4.09E+03,4.62E+03,4.21E+03,4.23E+03,4.22E+03,4.28E+03,4.62E+03,4.37E+03,0.00E+00
4.30E+03,4.00E+03,4.26E+03,4.12E+03,4.34E+03,4.60E+03,4.09E+03,4.62E+03,4.20E+03,4.23E+03,4.21E+03,4.28E+03,4.62E+03,4.36E+03,0.00E+00
4.31E+03,4.01E+03,4.27E+03,4.13E+03,4.34E+03,4.60E+03,4.09E+03,4.62E+03,4.20E+03,4.23E+03,4.21E+03,4.29E+03,4.62E+03,4.36E+03,0.00E+00
4.30E+03,4.00E+03,4.26E+03,4.12E+03,4.34E+03,4.60E+03,4.09E+03,4.62E+03,4.20E+03,4.22E+03,4.21E+03,4.28E+03,4.61E+03,4.35E+03,0.00E+00
4.29E+03,3.99E+03,4.25E+03,4.11E+03,4.33E+03,4.60E+03,4.09E+03,4.62E+03,4.20E+03,4.21E+03,4.20E+03,4.27E+03,4.61E+03,4.35E+03,0.00E+00
4.29E+03,3.99E+03,4.25E+03,4.11E+03,4.33E+03,4.60E+03,4.09E+03,4.63E+03,4.21E+03,4.23E+03,4.21E+03,4.28E+03,4.61E+03,4.36E+03,0.00E+00
4.30E+03,4.01E+03,4.25E+03,4.12E+03,4.35E+03,4.61E+03,4.09E+03,4.63E+03,4.21E+03,4.24E+03,4.22E+03,4.28E+03,4.62E+03,4.37E+03,0.00E+00
4.30E+03,4.01E+03,4.25E+03,4.12E+03,4.34E+03,4.60E+03,4.08E+03,4.62E+03,4.20E+03,4.23E+03,4.21E+03,4.28E+03,4.62E+03,4.36E+03,0.00E+00
4.30E+03,4.00E+03,4.26E+03,4.12E+03,4.33E+03,4.60E+03,4.07E+03,4.62E+03,4.20E+03,4.23E+03,4.21E+03,4.28E+03,4.61E+03,4.36E+03,0.00E+00
